entry_time,entry_price,exit_time,exit_price,direction,size,stop_level,exit_reason,raw_pnl,fees,net_pnl,symbol,day,prev_close,prev_atr,upper_level,lower_level,isFiltered,position_size,portfolio_pnl,equity,drawdown
2024-01-04 15:32:00+00:00,2285.873,2024-01-05 01:18:00+00:00,2256.7819285714286,long,1.0,2256.7819285714286,stop_loss,-29.091071428571468,6.813982392857142,-35.90505382142861,ETHUSDT,2024-01-04,2237.0,116.36428571428569,2285.873,2188.127,False,0.1762296349340749,-6.327534527238675,250.00791035767327,-77.45666289961444
2024-01-08 00:35:00+00:00,2191.606,2024-01-08 06:25:00+00:00,2219.102428571429,short,1.0,2219.102428571429,stop_loss,-27.496428571428623,6.616062642857145,-34.11249121428577,ETHUSDT,2024-01-07,2237.8,109.98571428571424,2283.994,2191.606,False,0.18184755137069356,-6.203272998472164,243.80463735920114,-78.01601509823172
2024-01-08 18:00:00+00:00,2312.3463,2024-01-09 12:55:00+00:00,2284.1639785714287,long,1.0,2284.1639785714287,stop_loss,-28.182321428571413,6.894765417857144,-35.07708684642856,ETHUSDT,2024-01-08,2265.0,112.72928571428568,2312.3463,2217.6537,False,0.17301955623288778,-6.069022000111534,237.7356153590896,-78.56326181783525
2024-01-14 23:35:00+00:00,2478.3471000000004,2024-01-15 01:38:00+00:00,2514.0333500000006,short,1.0,2514.0333500000006,stop_loss,-35.6862500000002,7.488570674999998,-43.1748206750002,ETHUSDT,2024-01-14,2538.3,142.74499999999995,2598.2529,2478.3471000000004,False,0.13323653528128543,-5.752463518127835,231.9831518409618,-79.08196430233384
2024-01-16 21:33:00+00:00,2606.5332,2024-01-17 03:52:00+00:00,2571.8289142857143,long,1.0,2571.8289142857143,stop_loss,-34.70428571428556,7.767543171428571,-42.47182888571413,ETHUSDT,2024-01-16,2548.23,138.81714285714278,2606.5332,2489.9268,False,0.13369135659545894,-5.678116420821322,226.30503542014048,-79.59396287224581
2024-01-18 18:09:00+00:00,2461.7257,2024-01-19 10:15:00+00:00,2492.1508785714286,short,1.0,2492.1508785714286,stop_loss,-30.42517857142866,7.430814867857144,-37.85599343928581,ETHUSDT,2024-01-18,2512.84,121.7007142857142,2563.9543000000003,2461.7257,False,0.1487616809800136,-5.631521219196524,220.67351420094394,-80.10175992974969
2024-01-19 16:38:00+00:00,2433.9292,2024-01-19 17:37:00+00:00,2464.774914285714,short,1.0,2464.774914285714,stop_loss,-30.84571428571417,7.348056171428574,-38.19377045714274,ETHUSDT,2024-01-19,2485.75,123.38285714285712,2537.5708,2433.9292,False,0.14308212295355835,-5.464845760608882,215.20866844033503,-80.59452777860203
2024-01-22 04:23:00+00:00,2419.6288,2024-01-22 13:00:00+00:00,2379.16,short,1.0,2450.8795142857143,end_of_day,40.4688000000001,7.198183200000003,33.2706168000001,ETHUSDT,2024-01-21,2472.13,125.00285714285712,2524.6312000000003,2419.6288,False,0.1377303996783931,4.582375349410674,219.7910437897457,-80.18133272379569
2024-01-22 19:38:00+00:00,2324.2891,2024-01-23 13:00:00+00:00,2224.13,short,1.0,2355.8074928571427,end_of_day,100.15909999999984,6.822628649999999,93.33647134999984,ETHUSDT,2024-01-22,2377.24,126.07357142857138,2430.1909,2324.2891,False,0.13946843342295387,13.017491440410893,232.80853523015662,-79.00753907333585
2024-01-26 11:30:00+00:00,2252.5059,2024-01-26 13:00:00+00:00,2246.41,long,1.0,2226.264292857143,end_of_day,-6.095900000000256,6.74837385,-12.844273850000256,ETHUSDT,2024-01-25,2208.42,104.96642857142852,2252.5059,2164.3341,False,0.17743466241436195,-2.2790193945324124,230.52951583562424,-79.21303938088914
2024-01-28 04:57:00+00:00,2299.7157,2024-01-28 08:05:00+00:00,2277.7123071428573,long,1.0,2277.7123071428573,stop_loss,-22.0033928571429,6.8661420107142845,-28.869534867857183,ETHUSDT,2024-01-27,2262.75,88.0135714285714,2299.7157,2225.7843,False,0.2095399717055803,-6.049321519364058,224.48019431626017,-79.75850969838648
2024-01-28 22:39:00+00:00,2238.4187,2024-01-29 00:35:00+00:00,2260.199235714286,short,1.0,2260.199235714286,stop_loss,-21.78053571428564,6.747926903571429,-28.528462617857063,ETHUSDT,2024-01-28,2275.01,87.12214285714283,2311.6013000000003,2238.4187,False,0.20612917630765729,-5.880548500742669,218.59964581551753,-80.28876166920512
2024-01-29 16:40:00+00:00,2290.6851,2024-01-30 13:00:00+00:00,2305.93,long,1.0,2269.4499214285715,end_of_day,15.244899999999689,6.89492265,8.349977349999689,ETHUSDT,2024-01-29,2255.01,84.94071428571422,2290.6851,2219.3349000000003,False,0.20588444319431162,1.7191304373897995,220.31877625290736,-80.13374682621807
2024-01-30 15:46:00+00:00,2342.1753,2024-01-31 09:56:00+00:00,2320.166192857143,long,1.0,2320.166192857143,stop_loss,-22.00910714285692,6.993512239285714,-29.00261938214264,ETHUSDT,2024-01-30,2305.2,88.03642857142856,2342.1753,2268.2247,False,0.20020691872946997,-5.8065250615823825,214.51225119132494,-80.65732406686547
