symbol,strategy_id,signal_time,entry_time,exit_time,direction,entry_price,exit_price,stop_level,tp_level,raw_pnl,fees,net_pnl,exit_reason
ETHUSDT,bb_trendline_rr4,2025-08-23 23:00:00+00:00,2025-08-23 23:00:00+00:00,2025-08-24 10:30:00+00:00,long,4779.88,4735.054,4735.054,4959.184,-44.82600000000002,28.544802000000004,-73.37080200000003,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-08-24 17:00:00+00:00,2025-08-24 17:00:00+00:00,2025-08-24 19:37:00+00:00,long,4820.34,4774.492,4774.492,5003.732,-45.847999999999956,28.784496,-74.63249599999996,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-08-25 07:00:00+00:00,2025-08-25 07:00:00+00:00,2025-09-22 06:02:00+00:00,short,4629.43,4061.6600000000035,4771.3724999999995,4061.6600000000035,567.7699999999968,26.07327000000001,541.6967299999968,take_profit_rr
ETHUSDT,bb_trendline_rr4,2025-09-22 07:00:00+00:00,2025-09-22 07:00:00+00:00,2025-10-02 06:29:00+00:00,short,4188.31,4404.8755,4404.8755,3322.0480000000016,-216.5654999999997,25.779556499999998,-242.3450564999997,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-10-02 16:00:00+00:00,2025-10-02 16:00:00+00:00,2025-10-06 15:21:00+00:00,long,4435.95,4685.651999999997,4373.5245,4685.651999999997,249.7019999999975,27.36480599999999,222.3371939999975,take_profit_rr
ETHUSDT,bb_trendline_rr4,2025-10-06 16:00:00+00:00,2025-10-06 16:00:00+00:00,2025-10-07 15:07:00+00:00,long,4671.33,4552.7265,4552.7265,5145.744000000001,-118.60350000000017,27.672169499999995,-146.27566950000016,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-10-07 16:00:00+00:00,2025-10-07 16:00:00+00:00,2025-10-10 20:59:00+00:00,short,4511.01,3845.996000000001,4677.2635,3845.996000000001,665.0139999999992,25.071018000000006,639.9429819999992,take_profit_rr
ETHUSDT,bb_trendline_rr4,2025-10-10 21:00:00+00:00,2025-10-10 21:00:00+00:00,2025-10-13 19:13:00+00:00,short,3865.21,4248.3865000000005,4248.3865000000005,2332.503999999998,-383.1765000000005,24.340789500000003,-407.5172895000005,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-10-19 04:00:00+00:00,2025-10-19 04:00:00+00:00,2025-10-19 06:35:00+00:00,long,3904.71,3879.6465,3879.6465,4004.964000000001,-25.063500000000204,23.3530695,-48.41656950000021,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-10-19 10:00:00+00:00,2025-10-19 10:00:00+00:00,2025-10-19 17:07:00+00:00,long,3910.53,4017.403999999998,3883.8115000000007,4017.403999999998,106.87399999999798,23.783801999999994,83.09019799999798,take_profit_rr
ETHUSDT,bb_trendline_rr4,2025-10-21 05:00:00+00:00,2025-10-21 05:00:00+00:00,2025-10-21 14:55:00+00:00,short,3848.57,3980.807,3980.807,3319.6220000000017,-132.23699999999963,23.488131000000003,-155.72513099999964,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-10-21 16:00:00+00:00,2025-10-21 16:00:00+00:00,2025-10-21 21:21:00+00:00,long,4081.69,3926.757,3926.757,4701.4220000000005,-154.933,24.025341,-178.958341,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-10-24 05:00:00+00:00,2025-10-24 05:00:00+00:00,2025-10-24 15:57:00+00:00,long,3973.3,3873.1880000000006,3873.1880000000006,4373.747999999999,-100.11199999999963,23.539464000000002,-123.65146399999963,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-10-25 19:00:00+00:00,2025-10-25 19:00:00+00:00,2025-10-25 21:15:00+00:00,long,3958.44,3934.9705000000004,3934.9705000000004,4052.317999999999,-23.469499999999698,23.6802315,-47.1497314999997,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-10-26 10:00:00+00:00,2025-10-26 10:00:00+00:00,2025-10-26 22:02:00+00:00,long,3987.03,4152.456000000002,3945.6735,4152.456000000002,165.42600000000175,24.418458000000008,141.00754200000173,take_profit_rr
ETHUSDT,bb_trendline_rr4,2025-10-26 23:00:00+00:00,2025-10-26 23:00:00+00:00,2025-10-28 19:50:00+00:00,long,4159.32,4025.993,4025.993,4692.627999999999,-133.32699999999977,24.555939000000002,-157.88293899999977,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-10-28 20:00:00+00:00,2025-10-28 20:00:00+00:00,2025-10-30 17:17:00+00:00,short,4037.06,3744.741999999999,4110.1395,3744.741999999999,292.3180000000011,23.345405999999997,268.9725940000011,take_profit_rr
ETHUSDT,bb_trendline_rr4,2025-11-01 16:00:00+00:00,2025-11-01 16:00:00+00:00,2025-11-01 17:54:00+00:00,long,3893.19,3863.0364999999997,3863.0364999999997,4013.8040000000015,-30.15350000000035,23.2686795,-53.422179500000354,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-11-02 05:00:00+00:00,2025-11-02 05:00:00+00:00,2025-11-02 09:40:00+00:00,long,3906.97,3876.5795,3876.5795,4028.5319999999997,-30.390499999999975,23.3506485,-53.74114849999997,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-11-02 15:00:00+00:00,2025-11-02 15:00:00+00:00,2025-11-02 23:14:00+00:00,short,3851.03,3878.8164999999995,3878.8164999999995,3739.884000000003,-27.78649999999925,23.1895395,-50.976039499999246,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-11-03 03:00:00+00:00,2025-11-03 03:00:00+00:00,2025-11-04 05:31:00+00:00,short,3797.0,3531.822,3863.2945,3531.822,265.1779999999999,21.986466,243.19153399999988,take_profit_rr
ETHUSDT,bb_trendline_rr4,2025-11-08 14:00:00+00:00,2025-11-08 14:00:00+00:00,2025-11-09 12:15:00+00:00,short,3395.0,3437.501,3437.501,3224.995999999999,-42.501000000000204,20.497503000000002,-62.998503000000206,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-11-09 13:00:00+00:00,2025-11-09 13:00:00+00:00,2025-11-09 23:01:00+00:00,long,3440.29,3600.5600000000004,3400.2225,3600.5600000000004,160.27000000000044,21.12255,139.14745000000045,take_profit_rr
ETHUSDT,bb_trendline_rr4,2025-11-10 15:00:00+00:00,2025-11-10 15:00:00+00:00,2025-11-11 01:16:00+00:00,short,3539.77,3601.1794999999997,3601.1794999999997,3294.132000000001,-61.40949999999975,21.4228485,-82.83234849999975,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-11-24 04:00:00+00:00,2025-11-24 04:00:00+00:00,2025-11-24 04:21:00+00:00,long,2854.95,2819.023,2819.023,2998.6579999999985,-35.92699999999968,17.021919,-52.94891899999968,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-11-24 06:00:00+00:00,2025-11-24 06:00:00+00:00,2025-11-24 07:16:00+00:00,long,2865.7,2822.243,2822.243,3039.5279999999993,-43.45699999999988,17.063829,-60.52082899999988,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-11-26 13:00:00+00:00,2025-11-26 13:00:00+00:00,2025-11-26 13:59:00+00:00,short,2900.0,2933.3835000000004,2933.3835000000004,2766.4659999999985,-33.38350000000037,17.5001505,-50.88365050000037,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-11-26 18:00:00+00:00,2025-11-26 18:00:00+00:00,2025-12-01 00:08:00+00:00,long,3026.12,2938.5150000000003,2938.5150000000003,3376.539999999998,-87.60499999999956,17.893905,-105.49890499999957,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-12-01 01:00:00+00:00,2025-12-01 01:00:00+00:00,2025-12-02 15:43:00+00:00,short,2834.91,3010.3285000000005,3010.3285000000005,2133.235999999997,-175.41850000000068,17.535715500000002,-192.95421550000069,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-12-02 16:00:00+00:00,2025-12-02 16:00:00+00:00,2025-12-16 14:00:00+00:00,long,3004.99,2906.79,2818.0305,3752.8279999999995,-98.19999999999982,17.73534,-115.93533999999983,end_of_data
